study_id,effect_id,author,year,yi,sei,n_ai,n_control,role,role_multi,domain,generation,subject,duration,pedagogy,design,reverse,flag,outcome_zh,country,sample,edu_level,age_group,mean_age_sd,pct_female,n_total,chatbot,control
20,1,Xiao et al.,2026,1.3211,0.3003902586636258,27,27,RP_FP,multiple,cognitive,Post-GAI,ICT,>1-3 months,CL,Quasi (ANCOVA),否,keep,学习结果,China,54 university students,Undergraduate,Adults,19–23 (range),—,54 (27/27),LLM multi-agent (MA-PL),Conventional programming learning (C-PL)
20,2,Xiao et al.,2026,1.138,0.293368747862178,27,27,RP_FP,multiple,higher_order,Post-GAI,ICT,>1-3 months,CL,Quasi (ANCOVA),否,keep,计算思维(总),China,54 university students,Undergraduate,Adults,19–23 (range),—,54 (27/27),LLM multi-agent (MA-PL),Conventional programming learning (C-PL)
20,3,Xiao et al.,2026,0.828,0.2835878595322338,27,27,RP_FP,multiple,higher_order,Post-GAI,ICT,>1-3 months,CL,Quasi (ANCOVA),否,keep,算法思维,China,54 university students,Undergraduate,Adults,19–23 (range),—,54 (27/27),LLM multi-agent (MA-PL),Conventional programming learning (C-PL)
21,1,Xu,2026,0.624,0.2953423324437818,20,30,CP,single,cognitive,Post-GAI,Social Sciences,≤1 month,CL,Quasi,否,keep,学习表现(作文),China,50 high school students,High school (Gr 10),Adolescents,15.08 (SD 0.34),40.0%,50 (30M/20F),DeepSeek,No LLM peer
21,2,Xu,2026,1.5556,0.3279210986401047,20,30,CP,single,affective,Post-GAI,Social Sciences,≤1 month,CL,Quasi,否,keep,社会情绪-致歉行为,China,50 high school students,High school (Gr 10),Adolescents,15.08 (SD 0.34),40.0%,50 (30M/20F),DeepSeek,No LLM peer
22,1,Yan et al.,2025,0.4044,0.2231091190973381,41,41,RP_FP,multiple,higher_order,Post-GAI,ICT,>1-3 months,CL,Quasi (ANCOVA),否,keep,计算思维,China,82 6th- and 7th-grade students (4 per group),Middle school (Gr 6–7),Adolescents,—,50.0%,82 (41/41),ChatGPT (GPT-4),No LLM support
22,2,Yan et al.,2025,0.1696,0.2212600280213306,41,41,RP_FP,multiple,affective,Post-GAI,ICT,>1-3 months,CL,Quasi (ANCOVA),否,keep,自我效能,China,82 6th- and 7th-grade students (4 per group),Middle school (Gr 6–7),Adolescents,—,50.0%,82 (41/41),ChatGPT (GPT-4),No LLM support
22,3,Yan et al.,2025,0.5131,0.2244682605626015,41,41,RP_FP,multiple,load,Post-GAI,ICT,>1-3 months,CL,Quasi (ANCOVA),是,keep,认知负荷,China,82 6th- and 7th-grade students (4 per group),Middle school (Gr 6–7),Adolescents,—,50.0%,82 (41/41),ChatGPT (GPT-4),No LLM support
24,1,de Araujo et al.,2025,0.6567,0.2768967709297504,28,27,CP_FP,multiple,collaborative,Pre-GAI,Natural Sciences,≤1 month,CL,Quasi,否,keep,对话产出-分享(Goal1),Netherlands,140 students (dyads),Secondary school (Gr 9),Adolescents,—,50.9% (56F/54M),140 enrolled; 110 (55 dyads),Clair,Without Clair
24,2,de Araujo et al.,2025,0.6636,0.2770462787505086,28,27,CP_FP,multiple,collaborative,Pre-GAI,Natural Sciences,≤1 month,CL,Quasi,否,keep,对话产出-倾听(Goal2),Netherlands,140 students (dyads),Secondary school (Gr 9),Adolescents,—,50.9% (56F/54M),140 enrolled; 110 (55 dyads),Clair,Without Clair
24,3,de Araujo et al.,2025,0.4724,0.2734594412779526,28,27,CP_FP,multiple,collaborative,Pre-GAI,Natural Sciences,≤1 month,CL,Quasi,否,keep,对话产出-深化(Goal3),Netherlands,140 students (dyads),Secondary school (Gr 9),Adolescents,—,50.9% (56F/54M),140 enrolled; 110 (55 dyads),Clair,Without Clair
